,defaultKeyStatistics,details,summaryProfile,recommendationTrend,financialsTemplate,majorDirectHolders,earnings,price,fundOwnership,insiderTransactions,insiderHolders,netSharePurchaseActivity,majorHoldersBreakdown,financialData,quoteType,institutionOwnership,calendarEvents,summaryDetail,symbol,esgScores,upgradeDowngradeHistory,pageViews,quoteData,mktmData
fundFamily,,,,,,,,,,,,,,,,,,,TSLA,,,,,
lastFiscalYearEnd,"{'raw': 1577750400, 'fmt': '2019-12-31'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
heldPercentInstitutions,"{'raw': 0.57927, 'fmt': '57.93%'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
netIncomeToCommon,"{'raw': 533000000, 'fmt': '533M', 'longFmt': '533,000,000'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
trailingEps,"{'raw': 0.523, 'fmt': '0.52'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
lastDividendValue,{},,,,,,,,,,,,,,,,,,TSLA,,,,,
SandP52WeekChange,"{'raw': 0.07929814, 'fmt': '7.93%'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
priceToBook,"{'raw': 22.947369, 'fmt': '22.95'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
heldPercentInsiders,"{'raw': 0.2051, 'fmt': '20.51%'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
nextFiscalYearEnd,"{'raw': 1640908800, 'fmt': '2021-12-31'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
yield,{},,,,,,,,,,,,,,,,,{},TSLA,,,,,
mostRecentQuarter,"{'raw': 1601424000, 'fmt': '2020-09-30'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
shortRatio,"{'raw': 0.86, 'fmt': '0.86'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
sharesShortPreviousMonthDate,"{'raw': 1600128000, 'fmt': '2020-09-15'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
floatShares,"{'raw': 758946201, 'fmt': '758.95M', 'longFmt': '758,946,201'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
beta,"{'raw': 1.689464, 'fmt': '1.69'}",,,,,,,,,,,,,,,,,"{'raw': 1.689464, 'fmt': '1.69'}",TSLA,,,,,
enterpriseValue,"{'raw': 391527071744, 'fmt': '391.53B', 'longFmt': '391,527,071,744'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
priceHint,"{'raw': 2, 'fmt': '2', 'longFmt': '2'}",,,,,,,"{'raw': 2, 'fmt': '2', 'longFmt': '2'}",,,,,,,,,,"{'raw': 2, 'fmt': '2', 'longFmt': '2'}",TSLA,,,,,
threeYearAverageReturn,{},,,,,,,,,,,,,,,,,,TSLA,,,,,
lastSplitDate,"{'raw': 1598832000, 'fmt': '2020-08-31'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
lastSplitFactor,5:1,,,,,,,,,,,,,,,,,,TSLA,,,,,
legalType,,,,,,,,,,,,,,,,,,,TSLA,,,,,
lastDividendDate,{},,,,,,,,,,,,,,,,,,TSLA,,,,,
morningStarOverallRating,{},,,,,,,,,,,,,,,,,,TSLA,,,,,
earningsQuarterlyGrowth,"{'raw': 1.315, 'fmt': '131.50%'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
priceToSalesTrailing12Months,{},,,,,,,,,,,,,,,,,"{'raw': 13.054498, 'fmt': '13.05'}",TSLA,,,,,
dateShortInterest,"{'raw': 1602720000, 'fmt': '2020-10-15'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
pegRatio,"{'raw': 0.5, 'fmt': '0.50'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
ytdReturn,{},,,,,,,,,,,,,,,,,{},TSLA,,,,,
forwardPE,"{'raw': 100.26874, 'fmt': '100.27'}",,,,,,,,,,,,,,,,,"{'raw': 100.26874, 'fmt': '100.27'}",TSLA,,,,,
maxAge,1,,86400,86400,1,1,86400,1,1,1,1,1,1,86400,,1,1,1,TSLA,86400,86400,1,,
lastCapGain,{},,,,,,,,,,,,,,,,,,TSLA,,,,,
shortPercentOfFloat,"{'raw': 0.069699995, 'fmt': '6.97%'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
sharesShortPriorMonth,"{'raw': 59043853, 'fmt': '59.04M', 'longFmt': '59,043,853'}",,,,,,,,,,,,,,,,,,TSLA,,,,,
category,,,,,,,,,,,,,,,,,,,TSLA,,,,,
fiveYearAverageReturn,{},,,,,,,,,,,,,,,,,,TSLA,,,,,
zip,,,94304,,,,,,,,,,,,,,,,TSLA,,,,,
sector,,,Consumer Cyclical,,,,,,,,,,,,,,,,TSLA,,,,,
fullTimeEmployees,,,48016,,,,,,,,,,,,,,,,TSLA,,,,,
longBusinessSummary,,,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, Netherlands, Norway, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The Automotive segment offers sedans and sport utility vehicles. It also provides electric powertrain components and systems; and services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians, as well as sells used vehicles. This segment markets and sells its products through a network of company-owned stores and galleries, as well as through its own Website. The Energy Generation and Storage segment offers energy storage products, such as rechargeable lithium-ion battery systems for use in homes, industrial, commercial facilities, and utility grids; and designs, manufactures, installs, maintains, leases, and sells solar energy generation and energy storage products to residential and commercial customers. It also provides vehicle insurance services, as well as renewable energy. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was founded in 2003 and is headquartered in Palo Alto, California.",,,,,,,,,,,,,,,,TSLA,,,,,
city,,,Palo Alto,,,,,,,,,,,,,,,,TSLA,,,,,
phone,,,650-681-5000,,,,,,,,,,,,,,,,TSLA,,,,,
state,,,CA,,,,,,,,,,,,,,,,TSLA,,,,,
country,,,United States,,,,,,,,,,,,,,,,TSLA,,,,,
companyOfficers,,,[],,,,,,,,,,,,,,,,TSLA,,,,,
website,,,http://www.tesla.com,,,,,,,,,,,,,,,,TSLA,,,,,
address1,,,3500 Deer Creek Road,,,,,,,,,,,,,,,,TSLA,,,,,
industry,,,Auto Manufacturers,,,,,,,,,,,,,,,,TSLA,,,,,
trend,,,,"[{'period': '0m', 'strongBuy': 4, 'buy': 4, 'hold': 8, 'sell': 6, 'strongSell': 1}, {'period': '-1m', 'strongBuy': 7, 'buy': 1, 'hold': 15, 'sell': 6, 'strongSell': 4}, {'period': '-2m', 'strongBuy': 7, 'buy': 1, 'hold': 15, 'sell': 6, 'strongSell': 4}, {'period': '-3m', 'strongBuy': 4, 'buy': 4, 'hold': 8, 'sell': 6, 'strongSell': 0}]",,,,,,,,,,,,,,,TSLA,,,,,
code,,,,,N,,,,,,,,,,,,,,TSLA,,,,,
holders,,,,,,[],,,,,"[{'maxAge': 1, 'name': 'BAGLINO ANDREW D', 'relation': 'Officer', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1603756800, 'fmt': '2020-10-27'}, 'positionDirect': {'raw': 19837, 'fmt': '19.84k', 'longFmt': '19,837'}, 'positionDirectDate': {'raw': 1603756800, 'fmt': '2020-10-27'}}, {'maxAge': 1, 'name': 'DENHOLM ROBYN M', 'relation': 'Director', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1603670400, 'fmt': '2020-10-26'}, 'positionDirect': {'raw': 5000, 'fmt': '5k', 'longFmt': '5,000'}, 'positionDirectDate': {'raw': 1603670400, 'fmt': '2020-10-26'}}, {'maxAge': 1, 'name': 'GRACIAS ANTONIO J', 'relation': 'Director', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1603756800, 'fmt': '2020-10-27'}, 'positionDirect': {'raw': 1346830, 'fmt': '1.35M', 'longFmt': '1,346,830'}, 'positionDirectDate': {'raw': 1603756800, 'fmt': '2020-10-27'}}, {'maxAge': 1, 'name': 'GUILLEN JEROME M', 'relation': 'Officer', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1601510400, 'fmt': '2020-10-01'}, 'positionDirect': {'raw': 49357, 'fmt': '49.36k', 'longFmt': '49,357'}, 'positionDirectDate': {'raw': 1601510400, 'fmt': '2020-10-01'}}, {'maxAge': 1, 'name': 'JURVETSON STEPHEN T', 'relation': 'Director', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1574380800, 'fmt': '2019-11-22'}, 'positionDirect': {'raw': 52143, 'fmt': '52.14k', 'longFmt': '52,143'}, 'positionDirectDate': {'raw': 1574380800, 'fmt': '2019-11-22'}}, {'maxAge': 1, 'name': 'KIRKHORN ZACHARY', 'relation': 'Chief Financial Officer', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1603065600, 'fmt': '2020-10-19'}, 'positionDirect': {'raw': 56874, 'fmt': '56.87k', 'longFmt': '56,874'}, 'positionDirectDate': {'raw': 1603065600, 'fmt': '2020-10-19'}}, {'maxAge': 1, 'name': 'MUSK ELON R', 'relation': 'Chief Executive Officer', 'url': '', 'transactionDescription': 'Stock Gift', 'latestTransDate': {'raw': 1576454400, 'fmt': '2019-12-16'}, 'positionIndirect': {'raw': 34085600, 'fmt': '34.09M', 'longFmt': '34,085,600'}, 'positionIndirectDate': {'raw': 1576454400, 'fmt': '2019-12-16'}}, {'maxAge': 1, 'name': 'MUSK KIMBAL', 'relation': 'Director', 'url': '', 'transactionDescription': 'Stock Gift', 'latestTransDate': {'raw': 1603670400, 'fmt': '2020-10-26'}, 'positionDirect': {'raw': 629740, 'fmt': '629.74k', 'longFmt': '629,740'}, 'positionDirectDate': {'raw': 1603670400, 'fmt': '2020-10-26'}}, {'maxAge': 1, 'name': 'TANEJA VAIBHAV', 'relation': 'Officer', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1601856000, 'fmt': '2020-10-05'}, 'positionDirect': {'raw': 14854, 'fmt': '14.85k', 'longFmt': '14,854'}, 'positionDirectDate': {'raw': 1601856000, 'fmt': '2020-10-05'}}, {'maxAge': 1, 'name': 'WILSON-THOMPSON KATHLEEN', 'relation': 'Director', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1601424000, 'fmt': '2020-09-30'}, 'positionDirect': {'raw': 1800, 'fmt': '1.8k', 'longFmt': '1,800'}, 'positionDirectDate': {'raw': 1601424000, 'fmt': '2020-09-30'}}]",,,,,,,,TSLA,,,,,
earningsChart,,,,,,,"{'quarterly': [{'date': '4Q2019', 'actual': {'raw': 0.41, 'fmt': '0.41'}, 'estimate': {'raw': 0.34, 'fmt': '0.34'}}, {'date': '1Q2020', 'actual': {'raw': 0.23, 'fmt': '0.23'}, 'estimate': {'raw': -0.05, 'fmt': '-0.05'}}, {'date': '2Q2020', 'actual': {'raw': 0.44, 'fmt': '0.44'}, 'estimate': {'raw': 0.01, 'fmt': '0.01'}}, {'date': '3Q2020', 'actual': {'raw': 0.76, 'fmt': '0.76'}, 'estimate': {'raw': 0.57, 'fmt': '0.57'}}], 'currentQuarterEstimate': {'raw': 0.88, 'fmt': '0.88'}, 'currentQuarterEstimateDate': '4Q', 'currentQuarterEstimateYear': 2020, 'earningsDate': [{'raw': 1611705600, 'fmt': '2021-01-27'}, {'raw': 1612137600, 'fmt': '2021-02-01'}]}",,,,,,,,,,,,TSLA,,,,,
financialsChart,,,,,,,"{'yearly': [{'date': 2016, 'revenue': {'raw': 7000132000, 'fmt': '7B', 'longFmt': '7,000,132,000'}, 'earnings': {'raw': -674914000, 'fmt': '-674.91M', 'longFmt': '-674,914,000'}}, {'date': 2017, 'revenue': {'raw': 11759000000, 'fmt': '11.76B', 'longFmt': '11,759,000,000'}, 'earnings': {'raw': -1962000000, 'fmt': '-1.96B', 'longFmt': '-1,962,000,000'}}, {'date': 2018, 'revenue': {'raw': 21461000000, 'fmt': '21.46B', 'longFmt': '21,461,000,000'}, 'earnings': {'raw': -976000000, 'fmt': '-976M', 'longFmt': '-976,000,000'}}, {'date': 2019, 'revenue': {'raw': 24578000000, 'fmt': '24.58B', 'longFmt': '24,578,000,000'}, 'earnings': {'raw': -862000000, 'fmt': '-862M', 'longFmt': '-862,000,000'}}], 'quarterly': [{'date': '4Q2019', 'revenue': {'raw': 7384000000, 'fmt': '7.38B', 'longFmt': '7,384,000,000'}, 'earnings': {'raw': 105000000, 'fmt': '105M', 'longFmt': '105,000,000'}}, {'date': '1Q2020', 'revenue': {'raw': 5985000000, 'fmt': '5.99B', 'longFmt': '5,985,000,000'}, 'earnings': {'raw': 16000000, 'fmt': '16M', 'longFmt': '16,000,000'}}, {'date': '2Q2020', 'revenue': {'raw': 6036000000, 'fmt': '6.04B', 'longFmt': '6,036,000,000'}, 'earnings': {'raw': 104000000, 'fmt': '104M', 'longFmt': '104,000,000'}}, {'date': '3Q2020', 'revenue': {'raw': 8771000000, 'fmt': '8.77B', 'longFmt': '8,771,000,000'}, 'earnings': {'raw': 331000000, 'fmt': '331M', 'longFmt': '331,000,000'}}]}",,,,,,,,,,,,TSLA,,,,,
financialCurrency,,,,,,,USD,,,,,,,USD,,,,,TSLA,,,,,
quoteSourceName,,,,,,,,Delayed Quote,,,,,,,,,,,TSLA,,,,,
regularMarketOpen,,,,,,,,"{'raw': 406.895, 'fmt': '406.89'}",,,,,,,,,,"{'raw': 406.895, 'fmt': '406.89'}",TSLA,,,,,
averageDailyVolume3Month,,,,,,,,"{'raw': 64384193, 'fmt': '64.38M', 'longFmt': '64,384,193'}",,,,,,,,,,,TSLA,,,,,
exchange,,,,,,,,NMS,,,,,,,NMS,,,,TSLA,,,,,
regularMarketTime,,,,,,,,1604088002,,,,,,,,,,,TSLA,,,,,
volume24Hr,,,,,,,,{},,,,,,,,,,{},TSLA,,,,,
regularMarketDayHigh,,,,,,,,"{'raw': 407.5915, 'fmt': '407.59'}",,,,,,,,,,"{'raw': 407.5915, 'fmt': '407.59'}",TSLA,,,,,
shortName,,,,,,,,"Tesla, Inc.",,,,,,,"Tesla, Inc.",,,,TSLA,,,,,
averageDailyVolume10Day,,,,,,,,"{'raw': 29580212, 'fmt': '29.58M', 'longFmt': '29,580,212'}",,,,,,,,,,"{'raw': 29580212, 'fmt': '29.58M', 'longFmt': '29,580,212'}",TSLA,,,,,
longName,,,,,,,,"Tesla, Inc.",,,,,,,"Tesla, Inc.",,,,TSLA,,,,,
regularMarketChange,,,,,,,,"{'raw': -22.789978, 'fmt': '-22.79'}",,,,,,,,,,,TSLA,,,,,
currencySymbol,,,,,,,,$,,,,,,,,,,,TSLA,,,,,
regularMarketPreviousClose,,,,,,,,"{'raw': 410.83, 'fmt': '410.83'}",,,,,,,,,,"{'raw': 410.83, 'fmt': '410.83'}",TSLA,,,,,
postMarketTime,,,,,,,,1604102398,,,,,,,,,,,TSLA,,,,,
preMarketPrice,,,,,,,,{},,,,,,,,,,,TSLA,,,,,
exchangeDataDelayedBy,,,,,,,,0,,,,,,,,,,,TSLA,,,,,
toCurrency,,,,,,,,,,,,,,,,,,,TSLA,,,,,
postMarketChange,,,,,,,,"{'raw': -1.0400085, 'fmt': '-1.04'}",,,,,,,,,,,TSLA,,,,,
postMarketPrice,,,,,,,,"{'raw': 387, 'fmt': '387.00'}",,,,,,,,,,,TSLA,,,,,
exchangeName,,,,,,,,NasdaqGS,,,,,,,,,,,TSLA,,,,,
preMarketChange,,,,,,,,{},,,,,,,,,,,TSLA,,,,,
circulatingSupply,,,,,,,,{},,,,,,,,,,{},TSLA,,,,,
regularMarketDayLow,,,,,,,,"{'raw': 379.11, 'fmt': '379.11'}",,,,,,,,,,"{'raw': 379.11, 'fmt': '379.11'}",TSLA,,,,,
currency,,,,,,,,USD,,,,,,,,,,USD,TSLA,,,,,
regularMarketPrice,,,,,,,,"{'raw': 388.04, 'fmt': '388.04'}",,,,,,,,,,,TSLA,,,,,
regularMarketVolume,,,,,,,,"{'raw': 42587639, 'fmt': '42.59M', 'longFmt': '42,587,639.00'}",,,,,,,,,,"{'raw': 42587639, 'fmt': '42.59M', 'longFmt': '42,587,639'}",TSLA,,,,,
lastMarket,,,,,,,,,,,,,,,,,,,TSLA,,,,,
regularMarketSource,,,,,,,,FREE_REALTIME,,,,,,,,,,,TSLA,,,,,
openInterest,,,,,,,,{},,,,,,,,,,{},TSLA,,,,,
marketState,,,,,,,,CLOSED,,,,,,,,,,,TSLA,,,,,
underlyingSymbol,,,,,,,,,,,,,,,,,,,TSLA,,,,,
marketCap,,,,,,,,"{'raw': 367823519744, 'fmt': '367.82B', 'longFmt': '367,823,519,744.00'}",,,,,,,,,,"{'raw': 367823519744, 'fmt': '367.82B', 'longFmt': '367,823,519,744'}",TSLA,,,,,
quoteType,,,,,,,,EQUITY,,,,,,,EQUITY,,,,TSLA,,,,,
volumeAllCurrencies,,,,,,,,{},,,,,,,,,,{},TSLA,,,,,
postMarketSource,,,,,,,,DELAYED,,,,,,,,,,,TSLA,,,,,
strikePrice,,,,,,,,{},,,,,,,,,,{},TSLA,,,,,
symbol,,,,,,,,TSLA,,,,,,,TSLA,,,,TSLA,,,,,
postMarketChangePercent,,,,,,,,"{'raw': -0.002680158, 'fmt': '-0.27%'}",,,,,,,,,,,TSLA,,,,,
preMarketSource,,,,,,,,FREE_REALTIME,,,,,,,,,,,TSLA,,,,,
fromCurrency,,,,,,,,,,,,,,,,,,,TSLA,,,,,
regularMarketChangePercent,,,,,,,,"{'raw': -0.055473015, 'fmt': '-5.55%'}",,,,,,,,,,,TSLA,,,,,
ownershipList,,,,,,,,,"[{'maxAge': 1, 'reportDate': {'raw': 1601424000, 'fmt': '2020-09-30'}, 'organization': 'Growth Fund Of America Inc', 'pctHeld': {'raw': 0.028199999, 'fmt': '2.82%'}, 'position': {'raw': 26701841, 'fmt': '26.7M', 'longFmt': '26,701,841'}, 'value': {'raw': 11455356807, 'fmt': '11.46B', 'longFmt': '11,455,356,807'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Vanguard Total Stock Market Index Fund', 'pctHeld': {'raw': 0.0223, 'fmt': '2.23%'}, 'position': {'raw': 21146915, 'fmt': '21.15M', 'longFmt': '21,146,915'}, 'value': {'raw': 4566930057, 'fmt': '4.57B', 'longFmt': '4,566,930,057'}}, {'maxAge': 1, 'reportDate': {'raw': 1601424000, 'fmt': '2020-09-30'}, 'organization': 'New Perspective Fund Inc', 'pctHeld': {'raw': 0.0179, 'fmt': '1.79%'}, 'position': {'raw': 16920148, 'fmt': '16.92M', 'longFmt': '16,920,148'}, 'value': {'raw': 7258912693, 'fmt': '7.26B', 'longFmt': '7,258,912,693'}}, {'maxAge': 1, 'reportDate': {'raw': 1590883200, 'fmt': '2020-05-31'}, 'organization': 'Vanguard International Growth Fund', 'pctHeld': {'raw': 0.0117999995, 'fmt': '1.18%'}, 'position': {'raw': 11208040, 'fmt': '11.21M', 'longFmt': '11,208,040'}, 'value': {'raw': 1871742680, 'fmt': '1.87B', 'longFmt': '1,871,742,680'}}, {'maxAge': 1, 'reportDate': {'raw': 1598832000, 'fmt': '2020-08-31'}, 'organization': 'Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF', 'pctHeld': {'raw': 0.0112, 'fmt': '1.12%'}, 'position': {'raw': 10572363, 'fmt': '10.57M', 'longFmt': '10,572,363'}, 'value': {'raw': 5268419930, 'fmt': '5.27B', 'longFmt': '5,268,419,930'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Vanguard Extended Market Index Fund', 'pctHeld': {'raw': 0.0108, 'fmt': '1.08%'}, 'position': {'raw': 10272940, 'fmt': '10.27M', 'longFmt': '10,272,940'}, 'value': {'raw': 2218564668, 'fmt': '2.22B', 'longFmt': '2,218,564,668'}}, {'maxAge': 1, 'reportDate': {'raw': 1601424000, 'fmt': '2020-09-30'}, 'organization': 'American Funds Insurance Ser-Growth Fund', 'pctHeld': {'raw': 0.0076, 'fmt': '0.76%'}, 'position': {'raw': 7243285, 'fmt': '7.24M', 'longFmt': '7,243,285'}, 'value': {'raw': 3107441697, 'fmt': '3.11B', 'longFmt': '3,107,441,697'}}, {'maxAge': 1, 'reportDate': {'raw': 1596153600, 'fmt': '2020-07-31'}, 'organization': 'Harbor Capital Appreciation Fund', 'pctHeld': {'raw': 0.0068, 'fmt': '0.68%'}, 'position': {'raw': 6484615, 'fmt': '6.48M', 'longFmt': '6,484,615'}, 'value': {'raw': 1855585551, 'fmt': '1.86B', 'longFmt': '1,855,585,551'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Vanguard Growth Index Fund', 'pctHeld': {'raw': 0.0062, 'fmt': '0.62%'}, 'position': {'raw': 5861110, 'fmt': '5.86M', 'longFmt': '5,861,110'}, 'value': {'raw': 1265777037, 'fmt': '1.27B', 'longFmt': '1,265,777,037'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Baron Partners Fund', 'pctHeld': {'raw': 0.0058, 'fmt': '0.58%'}, 'position': {'raw': 5500000, 'fmt': '5.5M', 'longFmt': '5,500,000'}, 'value': {'raw': 1187791000, 'fmt': '1.19B', 'longFmt': '1,187,791,000'}}]",,,,,,,"[{'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Baillie Gifford and Company', 'pctHeld': {'raw': 0.0621, 'fmt': '6.21%'}, 'position': {'raw': 58856065, 'fmt': '58.86M', 'longFmt': '58,856,065'}, 'value': {'raw': 12710673509, 'fmt': '12.71B', 'longFmt': '12,710,673,509'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Capital World Investors', 'pctHeld': {'raw': 0.0563, 'fmt': '5.63%'}, 'position': {'raw': 53390465, 'fmt': '53.39M', 'longFmt': '53,390,465'}, 'value': {'raw': 11530311602, 'fmt': '11.53B', 'longFmt': '11,530,311,602'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Vanguard Group, Inc. (The)', 'pctHeld': {'raw': 0.0467, 'fmt': '4.67%'}, 'position': {'raw': 44264185, 'fmt': '44.26M', 'longFmt': '44,264,185'}, 'value': {'raw': 9559381920, 'fmt': '9.56B', 'longFmt': '9,559,381,920'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Blackrock Inc.', 'pctHeld': {'raw': 0.040700004, 'fmt': '4.07%'}, 'position': {'raw': 38598840, 'fmt': '38.6M', 'longFmt': '38,598,840'}, 'value': {'raw': 8335882684, 'fmt': '8.34B', 'longFmt': '8,335,882,684'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'FMR, LLC', 'pctHeld': {'raw': 0.0248, 'fmt': '2.48%'}, 'position': {'raw': 23546700, 'fmt': '23.55M', 'longFmt': '23,546,700'}, 'value': {'raw': 5085192425, 'fmt': '5.09B', 'longFmt': '5,085,192,425'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Jennison Associates LLC', 'pctHeld': {'raw': 0.020399999, 'fmt': '2.04%'}, 'position': {'raw': 19343710, 'fmt': '19.34M', 'longFmt': '19,343,710'}, 'value': {'raw': 4177506299, 'fmt': '4.18B', 'longFmt': '4,177,506,299'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'State Street Corporation', 'pctHeld': {'raw': 0.0167, 'fmt': '1.67%'}, 'position': {'raw': 15835650, 'fmt': '15.84M', 'longFmt': '15,835,650'}, 'value': {'raw': 3419898645, 'fmt': '3.42B', 'longFmt': '3,419,898,645'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'JP Morgan Chase & Company', 'pctHeld': {'raw': 0.0145000005, 'fmt': '1.45%'}, 'position': {'raw': 13754295, 'fmt': '13.75M', 'longFmt': '13,754,295'}, 'value': {'raw': 2970405056, 'fmt': '2.97B', 'longFmt': '2,970,405,056'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Goldman Sachs Group, Inc.', 'pctHeld': {'raw': 0.0105, 'fmt': '1.05%'}, 'position': {'raw': 9942455, 'fmt': '9.94M', 'longFmt': '9,942,455'}, 'value': {'raw': 2147192466, 'fmt': '2.15B', 'longFmt': '2,147,192,466'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'BAMCO Inc.', 'pctHeld': {'raw': 0.0085, 'fmt': '0.85%'}, 'position': {'raw': 8085050, 'fmt': '8.09M', 'longFmt': '8,085,050'}, 'value': {'raw': 1746063568, 'fmt': '1.75B', 'longFmt': '1,746,063,568'}}]",,,TSLA,,,,,
